Country,Codes,Trade_Volume,Exchange_count
United Arab Emirates,ARE,7047,1
Argentina,ARG,5720,1
Australia,AUS,22461683580,2
Brazil,BRA,18396310409,2
Canada,CAN,3080432027266796702337853,6
Switzerland,CHE,3552,1
Chile,CHL,2536,1
China,CHN,"1 444,999,1363 207,201,5372 402,812,0638948418172413",5
Colombia,COL,13237,1
Czech Republic,CZE,2515,1
Denmark,DNK,1310,1
European Union,,622241149240917263649870422334139813481927779440241111307855674218151391897511415001223179241947593593,19
United Kingdom,GBR,41514475585017567435631258580,5
Hong Kong,HKG,2237409925,2
Croatia,HRV,2280,1
Hungary,HUN,447,1
Indonesia,IDN,482725,1
Israel,ISR,11170,1
India,IND,24363,1
Iran,IRN,1410,1
Japan,JPN,"5 12,552,511114725625",3
Kenya,KEN,8230,1
Mexico,MEX,1757698170,2
Malaysia,MYS,21366,1
Norway,NOR,88513427,2
New Zealand,NZL,13503,1
Philippines,PHL,43816,2
Pakistan,PAK,8554,1
Poland,POL,3584515721198725033390,5
Romania,ROU,9549,1
Russia,RUS,199257421681,2
Russia,RUS,172265,1
Saudi Arabia,SAU,2461,1
Sweden,SWE,31885,1
Singapore,SGP,2180823757,2
Thailand,THA,22561,1
Turkey,TUR,4380,1
Ukraine,UKR,95567449,2
United States,USA,"4 19,880,628680541720654368043384344226723568643241599392577323924018932793650075849596132825619949421361216113469037032638737207211537851",23
Venezuela,VEN,30622,1
South Africa,ZAF,56439,1
